epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8062,2.17063,4.05731,1.6459,0.0097,0.72727,0.01026,0.00403,1.84063,3.64958,1.55266,0.0001,0.0001,0.0001
2,62.8577,1.75723,3.53247,1.32052,0.01273,0.95455,0.04378,0.0148,1.52973,3.41775,1.2406,0.000215644,0.000215644,0.000215644
3,91.3042,1.78274,2.64138,1.35086,0.01333,1,0.22191,0.08553,1.55418,3.19332,1.18228,0.000326536,0.000326536,0.000326536
4,119.973,1.61368,2.10209,1.18294,0.01303,0.97727,0.2836,0.10269,1.66267,3.15126,1.27595,0.000432676,0.000432676,0.000432676
5,149.206,1.64567,2.00722,1.25887,0.01303,0.97727,0.23521,0.07142,1.57172,3.25956,1.2442,0.000534064,0.000534064,0.000534064
6,181.467,1.63168,1.99735,1.27579,0.01303,0.97727,0.16498,0.05708,1.59144,3.16508,1.22229,0.0006307,0.0006307,0.0006307
7,211.276,1.56274,1.95783,1.27186,0.01484,0.70455,0.27927,0.14079,1.64053,3.08317,1.27211,0.000722584,0.000722584,0.000722584
8,241.143,1.55968,1.76589,1.23181,1,0.04357,0.26708,0.13869,1.6465,3.12282,1.28568,0.000809716,0.000809716,0.000809716
9,271.147,1.59452,1.74157,1.19548,0.01384,0.70455,0.21652,0.13064,1.63118,3.19928,1.32233,0.000892096,0.000892096,0.000892096
10,302.927,1.5942,1.75908,1.21876,0.00788,0.59091,0.13204,0.07052,1.65258,3.38476,1.43476,0.000969724,0.000969724,0.000969724
11,333.281,1.42981,1.49634,1.15158,0.27358,0.18182,0.15291,0.07295,1.57559,3.20814,1.33856,0.0010426,0.0010426,0.0010426
12,363.9,1.56486,1.68985,1.17679,1,0.08111,0.26945,0.124,1.5886,3.02698,1.34049,0.00111072,0.00111072,0.00111072
13,394.028,1.637,1.65431,1.31731,0.71913,0.34091,0.35789,0.17482,1.67576,2.94142,1.39526,0.0011741,0.0011741,0.0011741
14,425.085,1.44166,1.53548,1.15269,0.79358,0.26251,0.47394,0.20664,1.78902,2.76119,1.49766,0.00123272,0.00123272,0.00123272
15,454.782,1.5008,1.5933,1.16734,0.79358,0.26251,0.47394,0.20664,1.78902,2.76119,1.49766,0.00128658,0.00128658,0.00128658
16,487.718,1.39993,1.37179,1.11503,0.77977,0.15909,0.56685,0.2362,1.77931,2.6336,1.4805,0.0013357,0.0013357,0.0013357
17,518.102,1.45436,1.53716,1.18497,0.9385,0.34708,0.68226,0.29568,1.69718,2.42265,1.42841,0.0013664,0.0013664,0.0013664
18,547.67,1.68995,1.8301,1.31526,0.75008,0.40926,0.53892,0.24994,1.75075,2.45173,1.44696,0.0013268,0.0013268,0.0013268
19,576.993,1.56215,1.6696,1.23308,0.75008,0.40926,0.53892,0.24994,1.75075,2.45173,1.44696,0.0012872,0.0012872,0.0012872
20,606.975,1.50189,1.51768,1.2521,0.67998,0.38636,0.43804,0.21624,1.84027,2.4079,1.50678,0.0012476,0.0012476,0.0012476
21,636.758,1.52274,1.44181,1.15509,0.62352,0.38636,0.49349,0.24156,1.78874,2.2073,1.48429,0.001208,0.001208,0.001208
22,676.944,1.44559,1.44087,1.18096,0.76365,0.43182,0.58532,0.23973,1.69811,2.18728,1.4212,0.0011684,0.0011684,0.0011684
23,706.337,1.37763,1.41279,1.12281,0.76365,0.43182,0.58532,0.23973,1.69811,2.18728,1.4212,0.0011288,0.0011288,0.0011288
24,735.551,1.33865,1.31487,1.13097,0.72177,0.40909,0.54862,0.24505,1.70361,2.25731,1.40653,0.0010892,0.0010892,0.0010892
25,767.178,1.43505,1.30519,1.13165,0.69575,0.41596,0.58067,0.27886,1.75866,2.16932,1.42426,0.0010496,0.0010496,0.0010496
26,797.384,1.33913,1.48947,1.1281,0.74605,0.53431,0.61773,0.31625,1.82924,1.97857,1.4518,0.00101,0.00101,0.00101
27,829.021,1.36598,1.33663,1.12846,0.74605,0.53431,0.61773,0.31625,1.82924,1.97857,1.4518,0.0009704,0.0009704,0.0009704
28,859.213,1.36538,1.38607,1.16005,0.75587,0.56307,0.6246,0.33563,1.78404,1.68633,1.42317,0.0009308,0.0009308,0.0009308
29,889.521,1.27725,1.295,1.15886,0.71481,0.56818,0.60799,0.32223,1.74787,1.62019,1.43248,0.0008912,0.0008912,0.0008912
30,920.397,1.40148,1.44613,1.21917,0.81646,0.60676,0.65219,0.3438,1.73329,1.66708,1.41254,0.0008516,0.0008516,0.0008516
31,952.989,1.30052,1.2939,1.12446,0.81646,0.60676,0.65219,0.3438,1.73329,1.66708,1.41254,0.000812,0.000812,0.000812
32,984.653,1.30863,1.15278,1.06118,0.86093,0.63636,0.70536,0.35361,1.77954,1.62697,1.44111,0.0007724,0.0007724,0.0007724
33,1015.38,1.28688,1.14275,1.1228,0.89419,0.68182,0.78039,0.36677,1.79856,1.55343,1.46169,0.0007328,0.0007328,0.0007328
34,1045.86,1.25377,1.16706,1.11142,0.77109,0.76569,0.79199,0.37309,1.7822,1.48736,1.46355,0.0006932,0.0006932,0.0006932
35,1076.18,1.2411,1.07164,1.09854,0.77109,0.76569,0.79199,0.37309,1.7822,1.48736,1.46355,0.0006536,0.0006536,0.0006536
36,1106.35,1.24339,1.16928,1.10392,0.89949,0.70455,0.81161,0.37973,1.76611,1.40605,1.46498,0.000614,0.000614,0.000614
37,1136.42,1.19338,1.0139,1.05548,0.94031,0.71622,0.81455,0.38621,1.76199,1.37515,1.48677,0.0005744,0.0005744,0.0005744
38,1166.49,1.19661,1.2432,1.0305,0.91097,0.72727,0.81711,0.39065,1.73477,1.45014,1.48473,0.0005348,0.0005348,0.0005348
39,1197.67,1.23546,1.05925,1.05406,0.91097,0.72727,0.81711,0.39065,1.73477,1.45014,1.48473,0.0004952,0.0004952,0.0004952
40,1229.63,1.23398,1.13667,1.10218,0.88775,0.71909,0.79552,0.39055,1.72287,1.47454,1.48986,0.0004556,0.0004556,0.0004556
41,1260.25,1.14814,1.15529,1.07997,0.91339,0.71917,0.81927,0.41584,1.67771,1.47913,1.44012,0.000416,0.000416,0.000416
42,1294.21,1.11503,1.06237,1.03313,0.93744,0.70455,0.81591,0.43067,1.64884,1.4227,1.405,0.0003764,0.0003764,0.0003764
43,1323.42,1.10034,1.05993,1.05572,0.93744,0.70455,0.81591,0.43067,1.64884,1.4227,1.405,0.0003368,0.0003368,0.0003368
44,1352.37,1.07509,1.1041,1.08197,0.87038,0.68182,0.81426,0.4332,1.67014,1.39237,1.41964,0.0002972,0.0002972,0.0002972
45,1389.21,1.14215,1.03059,1.09474,0.87146,0.72727,0.82119,0.42373,1.69071,1.3418,1.42981,0.0002576,0.0002576,0.0002576
46,1420.03,1.05506,0.99796,1.03029,0.9388,0.72727,0.86238,0.43863,1.67127,1.28402,1.41993,0.000218,0.000218,0.000218
47,1450.5,1.04072,1.04366,1.03189,0.9388,0.72727,0.86238,0.43863,1.67127,1.28402,1.41993,0.0001784,0.0001784,0.0001784
48,1480.55,1.08242,1.06308,1.03963,0.96595,0.75,0.88044,0.45155,1.64013,1.244,1.39965,0.0001388,0.0001388,0.0001388
49,1511.1,1.00526,1.03078,1.02047,0.96604,0.75,0.88432,0.4656,1.62151,1.22734,1.39376,9.92e-05,9.92e-05,9.92e-05
50,1543.19,1.06195,0.99795,1.02564,0.96145,0.75,0.88593,0.48295,1.60974,1.23131,1.38966,5.96e-05,5.96e-05,5.96e-05
